Game_ID,Result,Home,Away,Date,Won,Won_Points,Lost,Lost_Points,Home_Won
401267503,"NO 114, IND 113",Indiana Pacers,New Orleans Pelicans,20210205,New Orleans Pelicans,114,Indiana Pacers,113,No
401267504,"ORL 123, CHI 119",Orlando Magic,Chicago Bulls,20210205,Orlando Magic,123,Chicago Bulls,119,Yes
401267505,"TOR 123, BKN 117",Brooklyn Nets,Toronto Raptors,20210205,Toronto Raptors,123,Brooklyn Nets,117,No
401267506,"MIL 123, CLE 105",Cleveland Cavaliers,Milwaukee Bucks,20210205,Milwaukee Bucks,123,Cleveland Cavaliers,105,No
401267502,"UTAH 138, CHA 121",Charlotte Hornets,Utah Jazz,20210205,Utah Jazz,138,Charlotte Hornets,121,No
401267507,"MIA 122, WSH 95",Miami Heat,Washington Wizards,20210205,Miami Heat,122,Washington Wizards,95,Yes
401267508,"MIN 106, OKC 103",Oklahoma City Thunder,Minnesota Timberwolves,20210205,Minnesota Timberwolves,106,Oklahoma City Thunder,103,No
401267509,"PHX 109, DET 92",Phoenix Suns,Detroit Pistons,20210205,Phoenix Suns,109,Detroit Pistons,92,Yes
401267510,"BOS 119, LAC 115",LA Clippers,Boston Celtics,20210205,Boston Celtics,119,LA Clippers,115,No
401267511,"NY 110, POR 99",New York Knicks,Portland Trail Blazers,20210206,New York Knicks,110,Portland Trail Blazers,99,Yes
401267512,"SAC 119, DEN 114",Sacramento Kings,Denver Nuggets,20210206,Sacramento Kings,119,Denver Nuggets,114,Yes
